noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max
none,none,x,none,none,fft,0.994960,55.492336,38.242073,54.441968,55.492336
none,none,x,none,none,corr,3.115931,22.123938,10.595729,21.074544,22.123938
none,none,x,none,none,wavelet,0.168052,33.780024,9.726644,22.840333,33.780024
none,none,x,none,abs,fft,0.994960,53.991811,14.750052,42.443060,53.991811
none,none,x,none,abs,corr,3.115931,24.281107,12.982057,22.262208,24.281107
none,none,x,none,abs,wavelet,0.168052,62.569889,8.951188,30.320634,62.569889
none,none,x,smooth,none,fft,0.994960,55.492336,38.242073,54.441968,55.492336
none,none,x,smooth,none,corr,3.115931,22.123938,10.595729,21.074544,22.123938
none,none,x,smooth,none,wavelet,0.168052,33.780024,9.726644,22.840333,33.780024
none,none,x,smooth,abs,fft,0.994960,53.991811,14.750052,42.443060,53.991811
none,none,x,smooth,abs,corr,3.115931,24.281107,12.982057,22.262208,24.281107
none,none,x,smooth,abs,wavelet,0.168052,62.569889,8.951188,30.320634,62.569889
none,none,x,bandpass,none,fft,0.994960,55.492336,38.242073,54.441968,55.492336
none,none,x,bandpass,none,corr,3.115931,22.123938,10.595729,21.074544,22.123938
none,none,x,bandpass,none,wavelet,0.168052,33.780024,9.726644,22.840333,33.780024
none,none,x,bandpass,abs,fft,0.994960,53.991811,14.750052,42.443060,53.991811
none,none,x,bandpass,abs,corr,3.115931,24.281107,12.982057,22.262208,24.281107
none,none,x,bandpass,abs,wavelet,0.168052,62.569889,8.951188,30.320634,62.569889
none,none,x,wavelet,none,fft,0.994960,55.492336,38.242073,54.441968,55.492336
none,none,x,wavelet,none,corr,3.115931,22.123938,10.595729,21.074544,22.123938
none,none,x,wavelet,none,wavelet,0.168052,33.780024,9.726644,22.840333,33.780024
none,none,x,wavelet,abs,fft,0.994960,53.991811,14.750052,42.443060,53.991811
none,none,x,wavelet,abs,corr,3.115931,24.281107,12.982057,22.262208,24.281107
none,none,x,wavelet,abs,wavelet,0.168052,62.569889,8.951188,30.320634,62.569889
none,none,y,none,none,fft,0.505775,51.492756,32.493175,49.392021,51.492756
none,none,y,none,none,corr,2.066331,20.921731,11.428197,19.672813,20.921731
none,none,y,none,none,wavelet,0.534501,51.103156,7.225730,27.486592,51.103156
none,none,y,none,abs,fft,6.004620,51.992231,30.992441,50.592672,51.992231
none,none,y,none,abs,corr,3.525849,25.905772,14.095252,24.068925,25.905772
none,none,y,none,abs,wavelet,0.227441,59.055968,8.022663,30.230164,59.055968
none,none,y,smooth,none,fft,0.505775,51.492756,32.493175,49.392021,51.492756
none,none,y,smooth,none,corr,2.066331,20.921731,11.428197,19.672813,20.921731
none,none,y,smooth,none,wavelet,0.534501,51.103156,7.225730,27.486592,51.103156
none,none,y,smooth,abs,fft,6.004620,51.992231,30.992441,50.592672,51.992231
none,none,y,smooth,abs,corr,3.525849,25.905772,14.095252,24.068925,25.905772
none,none,y,smooth,abs,wavelet,0.227441,59.055968,8.022663,30.230164,59.055968
none,none,y,bandpass,none,fft,0.505775,51.492756,32.493175,49.392021,51.492756
none,none,y,bandpass,none,corr,2.066331,20.921731,11.428197,19.672813,20.921731
none,none,y,bandpass,none,wavelet,0.534501,51.103156,7.225730,27.486592,51.103156
none,none,y,bandpass,abs,fft,6.004620,51.992231,30.992441,50.592672,51.992231
none,none,y,bandpass,abs,corr,3.525849,25.905772,14.095252,24.068925,25.905772
none,none,y,bandpass,abs,wavelet,0.227441,59.055968,8.022663,30.230164,59.055968
none,none,y,wavelet,none,fft,0.505775,51.492756,32.493175,49.392021,51.492756
none,none,y,wavelet,none,corr,2.066331,20.921731,11.428197,19.672813,20.921731
none,none,y,wavelet,none,wavelet,0.534501,51.103156,7.225730,27.486592,51.103156
none,none,y,wavelet,abs,fft,6.004620,51.992231,30.992441,50.592672,51.992231
none,none,y,wavelet,abs,corr,3.525849,25.905772,14.095252,24.068925,25.905772
none,none,y,wavelet,abs,wavelet,0.227441,59.055968,8.022663,30.230164,59.055968
none,none,z,none,none,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,none,none,corr,3.546556,22.967948,11.061321,22.829797,22.967948
none,none,z,none,none,wavelet,0.035702,15.068740,8.062032,14.267074,15.068740
none,none,z,none,abs,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,none,abs,corr,3.546556,23.544297,11.061321,23.140852,23.544297
none,none,z,none,abs,wavelet,0.035702,41.419822,8.357441,22.974065,41.419822
none,none,z,smooth,none,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,smooth,none,corr,3.546556,22.967948,11.061321,22.829797,22.967948
none,none,z,smooth,none,wavelet,0.035702,15.068740,8.062032,14.267074,15.068740
none,none,z,smooth,abs,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,smooth,abs,corr,3.546556,23.544297,11.061321,23.140852,23.544297
none,none,z,smooth,abs,wavelet,0.035702,41.419822,8.357441,22.974065,41.419822
none,none,z,bandpass,none,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,bandpass,none,corr,3.546556,22.967948,11.061321,22.829797,22.967948
none,none,z,bandpass,none,wavelet,0.035702,15.068740,8.062032,14.267074,15.068740
none,none,z,bandpass,abs,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,bandpass,abs,corr,3.546556,23.544297,11.061321,23.140852,23.544297
none,none,z,bandpass,abs,wavelet,0.035702,41.419822,8.357441,22.974065,41.419822
none,none,z,wavelet,none,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,wavelet,none,corr,3.546556,22.967948,11.061321,22.829797,22.967948
none,none,z,wavelet,none,wavelet,0.035702,15.068740,8.062032,14.267074,15.068740
none,none,z,wavelet,abs,fft,9.994330,60.991601,41.992965,57.841968,60.991601
none,none,z,wavelet,abs,corr,3.546556,23.544297,11.061321,23.140852,23.544297
none,none,z,wavelet,abs,wavelet,0.035702,41.419822,8.357441,22.974065,41.419822
none,none,xy,none,none,fft,0.994960,51.492756,32.743228,51.142682,51.492756
none,none,xy,none,none,corr,3.195065,21.522834,11.011963,19.992562,21.522834
none,none,xy,none,none,wavelet,0.529211,42.441590,8.479373,25.163463,42.441590
none,none,xy,none,abs,fft,10.743438,41.993280,20.119147,40.417950,41.993280
none,none,xy,none,abs,corr,3.320890,25.093440,13.538654,23.165566,25.093440
none,none,xy,none,abs,wavelet,0.029695,60.812929,8.486925,29.670961,60.812929
none,none,xy,smooth,none,fft,0.994960,51.492756,32.743228,51.142682,51.492756
none,none,xy,smooth,none,corr,3.195065,21.522834,11.011963,19.992562,21.522834
none,none,xy,smooth,none,wavelet,0.529211,42.441590,8.479373,25.163463,42.441590
none,none,xy,smooth,abs,fft,10.743438,41.993280,20.119147,40.417950,41.993280
none,none,xy,smooth,abs,corr,3.320890,25.093440,13.538654,23.165566,25.093440
none,none,xy,smooth,abs,wavelet,0.029695,60.812929,8.486925,29.670961,60.812929
none,none,xy,bandpass,none,fft,0.994960,51.492756,32.743228,51.142682,51.492756
none,none,xy,bandpass,none,corr,3.195065,21.522834,11.011963,19.992562,21.522834
none,none,xy,bandpass,none,wavelet,0.529211,42.441590,8.479373,25.163463,42.441590
none,none,xy,bandpass,abs,fft,10.743438,41.993280,20.119147,40.417950,41.993280
none,none,xy,bandpass,abs,corr,3.320890,25.093440,13.538654,23.165566,25.093440
none,none,xy,bandpass,abs,wavelet,0.029695,60.812929,8.486925,29.670961,60.812929
none,none,xy,wavelet,none,fft,0.994960,51.492756,32.743228,51.142682,51.492756
none,none,xy,wavelet,none,corr,3.195065,21.522834,11.011963,19.992562,21.522834
none,none,xy,wavelet,none,wavelet,0.529211,42.441590,8.479373,25.163463,42.441590
none,none,xy,wavelet,abs,fft,10.743438,41.993280,20.119147,40.417950,41.993280
none,none,xy,wavelet,abs,corr,3.320890,25.093440,13.538654,23.165566,25.093440
none,none,xy,wavelet,abs,wavelet,0.029695,60.812929,8.486925,29.670961,60.812929
none,none,yz,none,none,fft,1.744908,52.242703,38.117782,52.067519,52.242703
none,none,yz,none,none,corr,4.310189,21.846160,10.313211,21.290777,21.846160
none,none,yz,none,none,wavelet,0.463036,30.502112,8.386290,20.502515,30.502112
none,none,yz,none,abs,fft,1.245013,56.491916,35.992231,52.992504,56.491916
none,none,yz,none,abs,corr,3.536202,24.725034,11.898154,23.426904,24.725034
none,none,yz,none,abs,wavelet,0.095870,50.237895,9.148810,26.602115,50.237895
none,none,yz,smooth,none,fft,1.744908,52.242703,38.117782,52.067519,52.242703
none,none,yz,smooth,none,corr,4.310189,21.846160,10.313211,21.290777,21.846160
none,none,yz,smooth,none,wavelet,0.463036,30.502112,8.386290,20.502515,30.502112
none,none,yz,smooth,abs,fft,1.245013,56.491916,35.992231,52.992504,56.491916
none,none,yz,smooth,abs,corr,3.536202,24.725034,11.898154,23.426904,24.725034
none,none,yz,smooth,abs,wavelet,0.095870,50.237895,9.148810,26.602115,50.237895
none,none,yz,bandpass,none,fft,1.744908,52.242703,38.117782,52.067519,52.242703
none,none,yz,bandpass,none,corr,4.310189,21.846160,10.313211,21.290777,21.846160
none,none,yz,bandpass,none,wavelet,0.463036,30.502112,8.386290,20.502515,30.502112
none,none,yz,bandpass,abs,fft,1.245013,56.491916,35.992231,52.992504,56.491916
none,none,yz,bandpass,abs,corr,3.536202,24.725034,11.898154,23.426904,24.725034
none,none,yz,bandpass,abs,wavelet,0.095870,50.237895,9.148810,26.602115,50.237895
none,none,yz,wavelet,none,fft,1.744908,52.242703,38.117782,52.067519,52.242703
none,none,yz,wavelet,none,corr,4.310189,21.846160,10.313211,21.290777,21.846160
none,none,yz,wavelet,none,wavelet,0.463036,30.502112,8.386290,20.502515,30.502112
none,none,yz,wavelet,abs,fft,1.245013,56.491916,35.992231,52.992504,56.491916
none,none,yz,wavelet,abs,corr,3.536202,24.725034,11.898154,23.426904,24.725034
none,none,yz,wavelet,abs,wavelet,0.095870,50.237895,9.148810,26.602115,50.237895
none,none,xz,none,none,fft,5.494645,52.242703,35.992126,50.492630,52.242703
none,none,xz,none,none,corr,3.331244,22.447264,10.161201,21.813657,22.447264
none,none,xz,none,none,wavelet,0.101877,21.840546,9.020022,18.179386,21.840546
none,none,xz,none,abs,fft,1.245013,47.242283,27.743648,42.518055,47.242283
none,none,xz,none,abs,corr,3.331244,23.912702,11.341556,22.523545,23.912702
none,none,xz,none,abs,wavelet,0.026317,51.994856,8.750462,26.246517,51.994856
none,none,xz,smooth,none,fft,5.494645,52.242703,35.992126,50.492630,52.242703
none,none,xz,smooth,none,corr,3.331244,22.447264,10.161201,21.813657,22.447264
none,none,xz,smooth,none,wavelet,0.101877,21.840546,9.020022,18.179386,21.840546
none,none,xz,smooth,abs,fft,1.245013,47.242283,27.743648,42.518055,47.242283
none,none,xz,smooth,abs,corr,3.331244,23.912702,11.341556,22.523545,23.912702
none,none,xz,smooth,abs,wavelet,0.026317,51.994856,8.750462,26.246517,51.994856
none,none,xz,bandpass,none,fft,5.494645,52.242703,35.992126,50.492630,52.242703
none,none,xz,bandpass,none,corr,3.331244,22.447264,10.161201,21.813657,22.447264
none,none,xz,bandpass,none,wavelet,0.101877,21.840546,9.020022,18.179386,21.840546
none,none,xz,bandpass,abs,fft,1.245013,47.242283,27.743648,42.518055,47.242283
none,none,xz,bandpass,abs,corr,3.331244,23.912702,11.341556,22.523545,23.912702
none,none,xz,bandpass,abs,wavelet,0.026317,51.994856,8.750462,26.246517,51.994856
none,none,xz,wavelet,none,fft,5.494645,52.242703,35.992126,50.492630,52.242703
none,none,xz,wavelet,none,corr,3.331244,22.447264,10.161201,21.813657,22.447264
none,none,xz,wavelet,none,wavelet,0.101877,21.840546,9.020022,18.179386,21.840546
none,none,xz,wavelet,abs,fft,1.245013,47.242283,27.743648,42.518055,47.242283
none,none,xz,wavelet,abs,corr,3.331244,23.912702,11.341556,22.523545,23.912702
none,none,xz,wavelet,abs,wavelet,0.026317,51.994856,8.750462,26.246517,51.994856
none,none,xyz,none,none,fft,3.994750,51.992721,35.992895,49.892672,51.992721
none,none,xyz,none,none,corr,4.409519,21.938753,10.407383,20.845965,21.938753
none,none,xyz,none,none,wavelet,0.227630,31.594749,8.833074,21.281788,31.594749
none,none,xyz,none,abs,fft,3.504655,42.493245,28.993490,40.742927,42.493245
none,none,xyz,none,abs,corr,3.396112,24.577059,12.259455,23.038672,24.577059
none,none,xyz,none,abs,wavelet,0.007896,54.348560,9.161714,27.438662,54.348560
none,none,xyz,smooth,none,fft,3.994750,51.992721,35.992895,49.892672,51.992721
none,none,xyz,smooth,none,corr,4.409519,21.938753,10.407383,20.845965,21.938753
none,none,xyz,smooth,none,wavelet,0.227630,31.594749,8.833074,21.281788,31.594749
none,none,xyz,smooth,abs,fft,3.504655,42.493245,28.993490,40.742927,42.493245
none,none,xyz,smooth,abs,corr,3.396112,24.577059,12.259455,23.038672,24.577059
none,none,xyz,smooth,abs,wavelet,0.007896,54.348560,9.161714,27.438662,54.348560
none,none,xyz,bandpass,none,fft,3.994750,51.992721,35.992895,49.892672,51.992721
none,none,xyz,bandpass,none,corr,4.409519,21.938753,10.407383,20.845965,21.938753
none,none,xyz,bandpass,none,wavelet,0.227630,31.594749,8.833074,21.281788,31.594749
none,none,xyz,bandpass,abs,fft,3.504655,42.493245,28.993490,40.742927,42.493245
none,none,xyz,bandpass,abs,corr,3.396112,24.577059,12.259455,23.038672,24.577059
none,none,xyz,bandpass,abs,wavelet,0.007896,54.348560,9.161714,27.438662,54.348560
none,none,xyz,wavelet,none,fft,3.994750,51.992721,35.992895,49.892672,51.992721
none,none,xyz,wavelet,none,corr,4.409519,21.938753,10.407383,20.845965,21.938753
none,none,xyz,wavelet,none,wavelet,0.227630,31.594749,8.833074,21.281788,31.594749
none,none,xyz,wavelet,abs,fft,3.504655,42.493245,28.993490,40.742927,42.493245
none,none,xyz,wavelet,abs,corr,3.396112,24.577059,12.259455,23.038672,24.577059
none,none,xyz,wavelet,abs,wavelet,0.007896,54.348560,9.161714,27.438662,54.348560
none,pca,x,none,none,fft,1.495485,60.991601,29.743333,57.841968,60.991601
none,pca,x,none,none,corr,0.886297,21.250207,9.529790,21.140053,21.250207
none,pca,x,none,none,wavelet,0.035702,21.321268,6.223525,18.789927,21.321268
none,pca,x,none,abs,fft,0.495275,47.992860,13.999055,41.343228,47.992860
none,pca,x,none,abs,corr,3.859296,25.943896,12.613559,24.979417,25.943896
none,pca,x,none,abs,wavelet,0.669057,57.341950,11.369647,31.505961,57.341950
none,pca,x,smooth,none,fft,1.495485,60.991601,29.743333,57.841968,60.991601
none,pca,x,smooth,none,corr,0.886297,21.250207,9.529790,21.140053,21.250207
none,pca,x,smooth,none,wavelet,0.035702,21.321268,6.223525,18.789927,21.321268
none,pca,x,smooth,abs,fft,0.495275,47.992860,13.999055,41.343228,47.992860
none,pca,x,smooth,abs,corr,3.859296,25.943896,12.613559,24.979417,25.943896
none,pca,x,smooth,abs,wavelet,0.669057,57.341950,11.369647,31.505961,57.341950
none,pca,x,bandpass,none,fft,1.495485,60.991601,29.743333,57.841968,60.991601
none,pca,x,bandpass,none,corr,0.886297,21.250207,9.529790,21.140053,21.250207
none,pca,x,bandpass,none,wavelet,0.035702,21.321268,6.223525,18.789927,21.321268
none,pca,x,bandpass,abs,fft,0.495275,47.992860,13.999055,41.343228,47.992860
none,pca,x,bandpass,abs,corr,3.859296,25.943896,12.613559,24.979417,25.943896
