noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
smooth,ica,xy,none,abs,wavelet,"0,528381","58,189677","3,051871","32,785117","58,189677","19,069729"
smooth,ica,xy,smooth,abs,wavelet,"0,528381","58,189677","3,051871","32,785117","58,189677","19,069729"
smooth,ica,xy,bandpass,abs,wavelet,"0,528381","58,189677","3,051871","32,785117","58,189677","19,069729"
smooth,ica,xy,wavelet,abs,wavelet,"0,528381","58,189677","3,051871","32,785117","58,189677","19,069729"
smooth,ica,xy,none,none,wavelet,"0,647989","53,059013","3,87133","41,954685","53,059013","19,817909"
smooth,ica,xy,smooth,none,wavelet,"0,647989","53,059013","3,87133","41,954685","53,059013","19,817909"
smooth,ica,xy,bandpass,none,wavelet,"0,647989","53,059013","3,87133","41,954685","53,059013","19,817909"
smooth,ica,xy,wavelet,none,wavelet,"0,647989","53,059013","3,87133","41,954685","53,059013","19,817909"
wavelet,ica,y,none,none,wavelet,"0,290238","14,93678","4,502248","14,777952","14,93678","9,032795"
wavelet,ica,y,smooth,none,wavelet,"0,290238","14,93678","4,502248","14,777952","14,93678","9,032795"
wavelet,ica,y,bandpass,none,wavelet,"0,290238","14,93678","4,502248","14,777952","14,93678","9,032795"
wavelet,ica,y,wavelet,none,wavelet,"0,290238","14,93678","4,502248","14,777952","14,93678","9,032795"
wavelet,ica,y,none,abs,wavelet,"0,290238","51,73553","4,502248","26,3698","51,73553","17,092528"
wavelet,ica,y,smooth,abs,wavelet,"0,290238","51,73553","4,502248","26,3698","51,73553","17,092528"
wavelet,ica,y,bandpass,abs,wavelet,"0,290238","51,73553","4,502248","26,3698","51,73553","17,092528"
wavelet,ica,y,wavelet,abs,wavelet,"0,290238","51,73553","4,502248","26,3698","51,73553","17,092528"
bandpass,ica,xy,none,none,corr,"0,021535","19,017821","4,898031","15,793579","19,017821","8,790424"
bandpass,ica,xy,smooth,none,corr,"0,021535","19,017821","4,898031","15,793579","19,017821","8,790424"
bandpass,ica,xy,bandpass,none,corr,"0,021535","19,017821","4,898031","15,793579","19,017821","8,790424"
bandpass,ica,xy,wavelet,none,corr,"0,021535","19,017821","4,898031","15,793579","19,017821","8,790424"
smooth,ica,yz,none,abs,wavelet,"0,745053","62,264883","4,942093","50,277126","62,264883","23,318022"
smooth,ica,yz,smooth,abs,wavelet,"0,745053","62,264883","4,942093","50,277126","62,264883","23,318022"
smooth,ica,yz,bandpass,abs,wavelet,"0,745053","62,264883","4,942093","50,277126","62,264883","23,318022"
smooth,ica,yz,wavelet,abs,wavelet,"0,745053","62,264883","4,942093","50,277126","62,264883","23,318022"
smooth,ica,xyz,none,abs,wavelet,"0,820023","59,91732","5,132625","40,298175","59,91732","20,755403"
smooth,ica,xyz,smooth,abs,wavelet,"0,820023","59,91732","5,132625","40,298175","59,91732","20,755403"
smooth,ica,xyz,bandpass,abs,wavelet,"0,820023","59,91732","5,132625","40,298175","59,91732","20,755403"
smooth,ica,xyz,wavelet,abs,wavelet,"0,820023","59,91732","5,132625","40,298175","59,91732","20,755403"
bandpass,ica,y,none,none,corr,"0,812223","16,75821","5,137046","16,575185","16,75821","8,469046"
bandpass,ica,y,smooth,none,corr,"0,812223","16,75821","5,137046","16,575185","16,75821","8,469046"
bandpass,ica,y,bandpass,none,corr,"0,812223","16,75821","5,137046","16,575185","16,75821","8,469046"
bandpass,ica,y,wavelet,none,corr,"0,812223","16,75821","5,137046","16,575185","16,75821","8,469046"
bandpass,none,y,none,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,none,y,smooth,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,none,y,bandpass,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,none,y,wavelet,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,pca,xz,none,none,corr,"1,216122","18,418008","5,379899","14,841358","18,418008","8,94922"
bandpass,pca,xz,smooth,none,corr,"1,216122","18,418008","5,379899","14,841358","18,418008","8,94922"
bandpass,pca,xz,bandpass,none,corr,"1,216122","18,418008","5,379899","14,841358","18,418008","8,94922"
bandpass,pca,xz,wavelet,none,corr,"1,216122","18,418008","5,379899","14,841358","18,418008","8,94922"
smooth,ica,yz,none,none,wavelet,"0,745053","57,232546","5,439984","48,767425","57,232546","22,360655"
smooth,ica,yz,smooth,none,wavelet,"0,745053","57,232546","5,439984","48,767425","57,232546","22,360655"
smooth,ica,yz,bandpass,none,wavelet,"0,745053","57,232546","5,439984","48,767425","57,232546","22,360655"
smooth,ica,yz,wavelet,none,wavelet,"0,745053","57,232546","5,439984","48,767425","57,232546","22,360655"
bandpass,ica,xyz,none,none,corr,"0,28281","18,64147","5,543547","15,424729","18,64147","8,988272"
bandpass,ica,xyz,smooth,none,corr,"0,28281","18,64147","5,543547","15,424729","18,64147","8,988272"
bandpass,ica,xyz,bandpass,none,corr,"0,28281","18,64147","5,543547","15,424729","18,64147","8,988272"
bandpass,ica,xyz,wavelet,none,corr,"0,28281","18,64147","5,543547","15,424729","18,64147","8,988272"
wavelet,ica,xy,none,none,wavelet,"1,439486","28,982148","5,633375","19,44404","28,982148","11,834897"
wavelet,ica,xy,smooth,none,wavelet,"1,439486","28,982148","5,633375","19,44404","28,982148","11,834897"
wavelet,ica,xy,bandpass,none,wavelet,"1,439486","28,982148","5,633375","19,44404","28,982148","11,834897"
