noise_removal1,transformation,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
smooth,none,ica,yz,none,abs,wavelet,"0,745053","62,264883","4,004437","39,197439","62,264883","20,8444"
smooth,none,ica,yz,smooth,abs,wavelet,"0,745053","62,264883","4,004437","39,197439","62,264883","20,8444"
smooth,none,ica,yz,bandpass,abs,wavelet,"0,745053","62,264883","4,004437","39,197439","62,264883","20,8444"
smooth,none,ica,yz,wavelet,abs,wavelet,"0,745053","62,264883","4,004437","39,197439","62,264883","20,8444"
wavelet,none,ica,xz,none,abs,wavelet,"1,139187","57,205316","4,566585","28,863693","57,205316","18,564757"
wavelet,none,ica,xz,smooth,abs,wavelet,"1,139187","57,205316","4,566585","28,863693","57,205316","18,564757"
wavelet,none,ica,xz,bandpass,abs,wavelet,"1,139187","57,205316","4,566585","28,863693","57,205316","18,564757"
wavelet,none,ica,xz,wavelet,abs,wavelet,"1,139187","57,205316","4,566585","28,863693","57,205316","18,564757"
wavelet,none,ica,xz,none,none,wavelet,"1,139187","49,000646","4,94841","25,866943","49,000646","16,356577"
wavelet,none,ica,xz,smooth,none,wavelet,"1,139187","49,000646","4,94841","25,866943","49,000646","16,356577"
wavelet,none,ica,xz,bandpass,none,wavelet,"1,139187","49,000646","4,94841","25,866943","49,000646","16,356577"
wavelet,none,ica,xz,wavelet,none,wavelet,"1,139187","49,000646","4,94841","25,866943","49,000646","16,356577"
smooth,abs,ica,xy,none,abs,wavelet,"0,457671","55,277329","5,002764","37,599295","55,277329","19,647897"
smooth,abs,ica,xy,smooth,abs,wavelet,"0,457671","55,277329","5,002764","37,599295","55,277329","19,647897"
smooth,abs,ica,xy,bandpass,abs,wavelet,"0,457671","55,277329","5,002764","37,599295","55,277329","19,647897"
smooth,abs,ica,xy,wavelet,abs,wavelet,"0,457671","55,277329","5,002764","37,599295","55,277329","19,647897"
smooth,abs,ica,x,none,none,wavelet,"0,876472","55,232275","5,149471","31,051556","55,232275","18,822581"
smooth,abs,ica,x,none,abs,wavelet,"0,876472","55,232275","5,149471","29,730468","55,232275","18,452038"
smooth,abs,ica,x,smooth,none,wavelet,"0,876472","55,232275","5,149471","31,051556","55,232275","18,822581"
smooth,abs,ica,x,smooth,abs,wavelet,"0,876472","55,232275","5,149471","29,730468","55,232275","18,452038"
smooth,abs,ica,x,bandpass,none,wavelet,"0,876472","55,232275","5,149471","31,051556","55,232275","18,822581"
smooth,abs,ica,x,bandpass,abs,wavelet,"0,876472","55,232275","5,149471","29,730468","55,232275","18,452038"
smooth,abs,ica,x,wavelet,none,wavelet,"0,876472","55,232275","5,149471","31,051556","55,232275","18,822581"
smooth,abs,ica,x,wavelet,abs,wavelet,"0,876472","55,232275","5,149471","29,730468","55,232275","18,452038"
bandpass,abs,ica,y,none,none,fft,"0,9958","28,99307","5,249948","18,150787","28,99307","11,050503"
bandpass,abs,ica,y,smooth,none,fft,"0,9958","28,99307","5,249948","18,150787","28,99307","11,050503"
bandpass,abs,ica,y,bandpass,none,fft,"0,9958","28,99307","5,249948","18,150787","28,99307","11,050503"
bandpass,abs,ica,y,wavelet,none,fft,"0,9958","28,99307","5,249948","18,150787","28,99307","11,050503"
bandpass,none,none,y,none,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,none,none,y,smooth,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,none,none,y,bandpass,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,none,none,y,wavelet,none,corr,"1,10054","19,184276","5,267581","15,429443","19,184276","8,621635"
bandpass,none,pca,xz,none,none,corr,"1,216122","18,418008","5,379899","14,841358","18,418008","8,94922"
bandpass,none,pca,xz,smooth,none,corr,"1,216122","18,418008","5,379899","14,841358","18,418008","8,94922"
