noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
wavelet,none,pca,y,none,abs,fft,"0,015204","59,029901","1,999493","9,021285","25,922958","59,029901","16,626043"
wavelet,none,pca,y,smooth,abs,fft,"0,015204","59,029901","1,999493","9,021285","25,922958","59,029901","16,626043"
wavelet,none,pca,y,bandpass,abs,fft,"0,015204","59,029901","1,999493","9,021285","25,922958","59,029901","16,626043"
wavelet,none,pca,y,wavelet,abs,fft,"0,015204","59,029901","1,999493","9,021285","25,922958","59,029901","16,626043"
wavelet,abs,ica,yz,none,abs,fft,"0,015204","47,028381","2,000887","19,020272","33,32648","47,028381","17,068015"
wavelet,abs,ica,yz,smooth,abs,fft,"0,015204","47,028381","2,000887","19,020272","33,32648","47,028381","17,068015"
wavelet,abs,ica,yz,bandpass,abs,fft,"0,015204","47,028381","2,000887","19,020272","33,32648","47,028381","17,068015"
wavelet,abs,ica,yz,wavelet,abs,fft,"0,015204","47,028381","2,000887","19,020272","33,32648","47,028381","17,068015"
wavelet,abs,ica,y,none,abs,fft,"0,015204","47,028887","2,017231","24,021792","40,226556","47,028887","19,567269"
wavelet,abs,ica,y,smooth,abs,fft,"0,015204","47,028887","2,017231","24,021792","40,226556","47,028887","19,567269"
wavelet,abs,ica,y,bandpass,abs,fft,"0,015204","47,028887","2,017231","24,021792","40,226556","47,028887","19,567269"
wavelet,abs,ica,y,wavelet,abs,fft,"0,015204","47,028887","2,017231","24,021792","40,226556","47,028887","19,567269"
none,abs,ica,z,none,none,fft,"0,015204","57,029901","2,500253","25,022806","50,329293","57,029901","23,998783"
none,abs,ica,z,smooth,none,fft,"0,015204","57,029901","2,500253","25,022806","50,329293","57,029901","23,998783"
none,abs,ica,z,bandpass,none,fft,"0,015204","57,029901","2,500253","25,022806","50,329293","57,029901","23,998783"
none,abs,ica,z,wavelet,none,fft,"0,015204","57,029901","2,500253","25,022806","50,329293","57,029901","23,998783"
wavelet,abs,ica,xy,none,none,fft,"0,015204","59,029901","2,983909","24,021792","38,327291","59,029901","20,050127"
wavelet,abs,ica,xy,smooth,none,fft,"0,015204","59,029901","2,983909","24,021792","38,327291","59,029901","20,050127"
wavelet,abs,ica,xy,bandpass,none,fft,"0,015204","59,029901","2,983909","24,021792","38,327291","59,029901","20,050127"
wavelet,abs,ica,xy,wavelet,none,fft,"0,015204","59,029901","2,983909","24,021792","38,327291","59,029901","20,050127"
wavelet,abs,pca,z,none,abs,fft,"0,015204","54,029901","2,985556","15,018751","43,326607","54,029901","19,025009"
wavelet,abs,pca,z,smooth,abs,fft,"0,015204","54,029901","2,985556","15,018751","43,326607","54,029901","19,025009"
wavelet,abs,pca,z,bandpass,abs,fft,"0,015204","54,029901","2,985556","15,018751","43,326607","54,029901","19,025009"
wavelet,abs,pca,z,wavelet,abs,fft,"0,015204","54,029901","2,985556","15,018751","43,326607","54,029901","19,025009"
none,none,pca,y,none,abs,fft,"0,015204","59,029901","3,000253","19,986317","44,228279","59,029901","20,887241"
none,none,pca,y,smooth,abs,fft,"0,015204","59,029901","3,000253","19,986317","44,228279","59,029901","20,887241"
none,none,pca,y,bandpass,abs,fft,"0,015204","59,029901","3,000253","19,986317","44,228279","59,029901","20,887241"
none,none,pca,y,wavelet,abs,fft,"0,015204","59,029901","3,000253","19,986317","44,228279","59,029901","20,887241"
none,abs,ica,z,none,abs,fft,"0,015204","59,029901","3,001014","25,022806","50,028837","59,029901","24,224293"
none,abs,ica,z,smooth,abs,fft,"0,015204","59,029901","3,001014","25,022806","50,028837","59,029901","24,224293"
none,abs,ica,z,bandpass,abs,fft,"0,015204","59,029901","3,001014","25,022806","50,028837","59,029901","24,224293"
none,abs,ica,z,wavelet,abs,fft,"0,015204","59,029901","3,001014","25,022806","50,028837","59,029901","24,224293"
none,none,none,x,none,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,none,none,x,smooth,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,none,none,x,bandpass,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,none,none,x,wavelet,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,none,none,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,none,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,smooth,none,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,smooth,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,bandpass,none,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,bandpass,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,wavelet,none,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
none,abs,none,x,wavelet,abs,fft,"0,015204","57,029901","3,00152","16,020272","32,824275","57,029901","19,277396"
wavelet,abs,pca,y,none,none,fft,"0,015204","59,029901","3,00152","15,986317","36,824681","59,029901","18,165523"
wavelet,abs,pca,y,smooth,none,fft,"0,015204","59,029901","3,00152","15,986317","36,824681","59,029901","18,165523"
wavelet,abs,pca,y,bandpass,none,fft,"0,015204","59,029901","3,00152","15,986317","36,824681","59,029901","18,165523"
wavelet,abs,pca,y,wavelet,none,fft,"0,015204","59,029901","3,00152","15,986317","36,824681","59,029901","18,165523"
wavelet,none,pca,yz,none,none,wavelet,"0,024436","25,039379","3,004929","5,991843","9,532595","25,039379","6,173368"
wavelet,none,pca,yz,smooth,none,wavelet,"0,024436","25,039379","3,004929","5,991843","9,532595","25,039379","6,173368"
wavelet,none,pca,yz,bandpass,none,wavelet,"0,024436","25,039379","3,004929","5,991843","9,532595","25,039379","6,173368"
wavelet,none,pca,yz,wavelet,none,wavelet,"0,024436","25,039379","3,004929","5,991843","9,532595","25,039379","6,173368"
wavelet,abs,pca,y,none,abs,fft,"0,015204","59,029901","3,016217","17,023313","36,324985","59,029901","19,155489"
