config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1228,smooth,none,pca,z,none,abs,fft,"0,01419","59,029901","3,985556","15,522046","39,005828","59,029901","18,612604"
1234,smooth,none,pca,z,smooth,abs,fft,"0,01419","59,029901","3,985556","15,522046","39,005828","59,029901","18,612604"
1240,smooth,none,pca,z,bandpass,abs,fft,"0,01419","59,029901","3,985556","15,522046","39,005828","59,029901","18,612604"
1246,smooth,none,pca,z,wavelet,abs,fft,"0,01419","59,029901","3,985556","15,522046","39,005828","59,029901","18,612604"
3748,wavelet,abs,pca,z,none,abs,fft,"0,01419","54,029901","3,985556","16,020525","32,025593","54,029901","17,481705"
3754,wavelet,abs,pca,z,smooth,abs,fft,"0,01419","54,029901","3,985556","16,020525","32,025593","54,029901","17,481705"
3760,wavelet,abs,pca,z,bandpass,abs,fft,"0,01419","54,029901","3,985556","16,020525","32,025593","54,029901","17,481705"
3766,wavelet,abs,pca,z,wavelet,abs,fft,"0,01419","54,029901","3,985556","16,020525","32,025593","54,029901","17,481705"
3244,wavelet,none,pca,z,none,abs,fft,"0,014697","59,029901","4,001774","16,002281","34,525847","59,029901","18,198186"
3250,wavelet,none,pca,z,smooth,abs,fft,"0,014697","59,029901","4,001774","16,002281","34,525847","59,029901","18,198186"
3256,wavelet,none,pca,z,bandpass,abs,fft,"0,014697","59,029901","4,001774","16,002281","34,525847","59,029901","18,198186"
3262,wavelet,none,pca,z,wavelet,abs,fft,"0,014697","59,029901","4,001774","16,002281","34,525847","59,029901","18,198186"
3724,wavelet,abs,pca,y,none,abs,fft,"0,015204","59,029901","4,984796","17,022806","31,525847","59,029901","17,310923"
3730,wavelet,abs,pca,y,smooth,abs,fft,"0,015204","59,029901","4,984796","17,022806","31,525847","59,029901","17,310923"
3736,wavelet,abs,pca,y,bandpass,abs,fft,"0,015204","59,029901","4,984796","17,022806","31,525847","59,029901","17,310923"
3742,wavelet,abs,pca,y,wavelet,abs,fft,"0,015204","59,029901","4,984796","17,022806","31,525847","59,029901","17,310923"
700,none,abs,pca,y,none,abs,fft,"0,015204","59,029394","4,985303","21,48581","37,025086","59,029394","19,175386"
706,none,abs,pca,y,smooth,abs,fft,"0,015204","59,029394","4,985303","21,48581","37,025086","59,029394","19,175386"
712,none,abs,pca,y,bandpass,abs,fft,"0,015204","59,029394","4,985303","21,48581","37,025086","59,029394","19,175386"
718,none,abs,pca,y,wavelet,abs,fft,"0,015204","59,029394","4,985303","21,48581","37,025086","59,029394","19,175386"
3292,wavelet,none,pca,yz,none,abs,fft,"0,015204","53,028381","5,000507","16,020779","28,022299","53,028381","14,766286"
3298,wavelet,none,pca,yz,smooth,abs,fft,"0,015204","53,028381","5,000507","16,020779","28,022299","53,028381","14,766286"
3304,wavelet,none,pca,yz,bandpass,abs,fft,"0,015204","53,028381","5,000507","16,020779","28,022299","53,028381","14,766286"
3310,wavelet,none,pca,yz,wavelet,abs,fft,"0,015204","53,028381","5,000507","16,020779","28,022299","53,028381","14,766286"
220,none,none,pca,z,none,abs,fft,"0,01419","59,029901","5,001774","17,985556","35,52534","59,029901","19,033231"
226,none,none,pca,z,smooth,abs,fft,"0,01419","59,029901","5,001774","17,985556","35,52534","59,029901","19,033231"
232,none,none,pca,z,bandpass,abs,fft,"0,01419","59,029901","5,001774","17,985556","35,52534","59,029901","19,033231"
238,none,none,pca,z,wavelet,abs,fft,"0,01419","59,029901","5,001774","17,985556","35,52534","59,029901","19,033231"
3220,wavelet,none,pca,y,none,abs,fft,"0,015204","59,029901","5,002027","14,022299","36,026353","59,029901","17,326609"
3226,wavelet,none,pca,y,smooth,abs,fft,"0,015204","59,029901","5,002027","14,022299","36,026353","59,029901","17,326609"
3232,wavelet,none,pca,y,bandpass,abs,fft,"0,015204","59,029901","5,002027","14,022299","36,026353","59,029901","17,326609"
3238,wavelet,none,pca,y,wavelet,abs,fft,"0,015204","59,029901","5,002027","14,022299","36,026353","59,029901","17,326609"
3796,wavelet,abs,pca,yz,none,abs,fft,"0,015204","45,026353","5,020272","15,000127","25,023439","45,026353","14,04869"
3802,wavelet,abs,pca,yz,smooth,abs,fft,"0,015204","45,026353","5,020272","15,000127","25,023439","45,026353","14,04869"
3808,wavelet,abs,pca,yz,bandpass,abs,fft,"0,015204","45,026353","5,020272","15,000127","25,023439","45,026353","14,04869"
3814,wavelet,abs,pca,yz,wavelet,abs,fft,"0,015204","45,026353","5,020272","15,000127","25,023439","45,026353","14,04869"
1204,smooth,none,pca,y,none,abs,fft,"0,015204","57,029901","5,501267","18,002281","34,526607","57,029901","18,981777"
1210,smooth,none,pca,y,smooth,abs,fft,"0,015204","57,029901","5,501267","18,002281","34,526607","57,029901","18,981777"
1216,smooth,none,pca,y,bandpass,abs,fft,"0,015204","57,029901","5,501267","18,002281","34,526607","57,029901","18,981777"
1222,smooth,none,pca,y,wavelet,abs,fft,"0,015204","57,029901","5,501267","18,002281","34,526607","57,029901","18,981777"
196,none,none,pca,y,none,abs,fft,"0,015204","63,982769","5,982262","21,984036","43,52762","63,982769","21,043388"
202,none,none,pca,y,smooth,abs,fft,"0,015204","63,982769","5,982262","21,984036","43,52762","63,982769","21,043388"
208,none,none,pca,y,bandpass,abs,fft,"0,015204","63,982769","5,982262","21,984036","43,52762","63,982769","21,043388"
214,none,none,pca,y,wavelet,abs,fft,"0,015204","63,982769","5,982262","21,984036","43,52762","63,982769","21,043388"
1708,smooth,abs,pca,y,none,abs,fft,"0,015204","58,029901","5,984289","21,002281","41,526353","58,029901","20,530314"
1714,smooth,abs,pca,y,smooth,abs,fft,"0,015204","58,029901","5,984289","21,002281","41,526353","58,029901","20,530314"
1720,smooth,abs,pca,y,bandpass,abs,fft,"0,015204","58,029901","5,984289","21,002281","41,526353","58,029901","20,530314"
1726,smooth,abs,pca,y,wavelet,abs,fft,"0,015204","58,029901","5,984289","21,002281","41,526353","58,029901","20,530314"
1732,smooth,abs,pca,z,none,abs,fft,"0,014697","61,982262","6,500507","18,004308","40,02762","61,982262","20,571628"
1738,smooth,abs,pca,z,smooth,abs,fft,"0,014697","61,982262","6,500507","18,004308","40,02762","61,982262","20,571628"
1744,smooth,abs,pca,z,bandpass,abs,fft,"0,014697","61,982262","6,500507","18,004308","40,02762","61,982262","20,571628"
1750,smooth,abs,pca,z,wavelet,abs,fft,"0,014697","61,982262","6,500507","18,004308","40,02762","61,982262","20,571628"
2186,bandpass,none,pca,x,none,none,corr,"0,112481","58,362297","6,903342","14,091433","22,359366","58,362297","13,660216"
2192,bandpass,none,pca,x,smooth,none,corr,"0,112481","58,362297","6,903342","14,091433","22,359366","58,362297","13,660216"
2198,bandpass,none,pca,x,bandpass,none,corr,"0,112481","58,362297","6,903342","14,091433","22,359366","58,362297","13,660216"
2204,bandpass,none,pca,x,wavelet,none,corr,"0,112481","58,362297","6,903342","14,091433","22,359366","58,362297","13,660216"
892,none,abs,ica,z,none,abs,fft,"0,01419","67,983783","7,001267","19,021792","40,526353","67,983783","20,571664"
898,none,abs,ica,z,smooth,abs,fft,"0,01419","67,983783","7,001267","19,021792","40,526353","67,983783","20,571664"
904,none,abs,ica,z,bandpass,abs,fft,"0,01419","67,983783","7,001267","19,021792","40,526353","67,983783","20,571664"
910,none,abs,ica,z,wavelet,abs,fft,"0,01419","67,983783","7,001267","19,021792","40,526353","67,983783","20,571664"
724,none,abs,pca,z,none,abs,fft,"0,01419","56,028381","7,017738","20,020525","42,02762","56,028381","20,468443"
730,none,abs,pca,z,smooth,abs,fft,"0,01419","56,028381","7,017738","20,020525","42,02762","56,028381","20,468443"
736,none,abs,pca,z,bandpass,abs,fft,"0,01419","56,028381","7,017738","20,020525","42,02762","56,028381","20,468443"
742,none,abs,pca,z,wavelet,abs,fft,"0,01419","56,028381","7,017738","20,020525","42,02762","56,028381","20,468443"
772,none,abs,pca,yz,none,abs,fft,"0,015204","47,02686","7,018625","19,020145","28,524326","47,02686","16,011462"
778,none,abs,pca,yz,smooth,abs,fft,"0,015204","47,02686","7,018625","19,020145","28,524326","47,02686","16,011462"
784,none,abs,pca,yz,bandpass,abs,fft,"0,015204","47,02686","7,018625","19,020145","28,524326","47,02686","16,011462"
790,none,abs,pca,yz,wavelet,abs,fft,"0,015204","47,02686","7,018625","19,020145","28,524326","47,02686","16,011462"
3004,bandpass,abs,ica,xyz,none,abs,fft,"0,015711","68,650618","7,316947","10,50076","17,687614","68,650618","12,474638"
3010,bandpass,abs,ica,xyz,smooth,abs,fft,"0,015711","68,650618","7,316947","10,50076","17,687614","68,650618","12,474638"
3016,bandpass,abs,ica,xyz,bandpass,abs,fft,"0,015711","68,650618","7,316947","10,50076","17,687614","68,650618","12,474638"
3022,bandpass,abs,ica,xyz,wavelet,abs,fft,"0,015711","68,650618","7,316947","10,50076","17,687614","68,650618","12,474638"
2500,bandpass,none,ica,xyz,none,abs,fft,"0,016724","72,651632","7,318214","11,835445","19,688374","72,651632","12,531415"
2506,bandpass,none,ica,xyz,smooth,abs,fft,"0,016724","72,651632","7,318214","11,835445","19,688374","72,651632","12,531415"
2512,bandpass,none,ica,xyz,bandpass,abs,fft,"0,016724","72,651632","7,318214","11,835445","19,688374","72,651632","12,531415"
2518,bandpass,none,ica,xyz,wavelet,abs,fft,"0,016724","72,651632","7,318214","11,835445","19,688374","72,651632","12,531415"
292,none,none,pca,xz,none,abs,fft,"0,01419","51,027874","7,5019","17,00152","28,023693","51,027874","16,010456"
298,none,none,pca,xz,smooth,abs,fft,"0,01419","51,027874","7,5019","17,00152","28,023693","51,027874","16,010456"
304,none,none,pca,xz,bandpass,abs,fft,"0,01419","51,027874","7,5019","17,00152","28,023693","51,027874","16,010456"
310,none,none,pca,xz,wavelet,abs,fft,"0,01419","51,027874","7,5019","17,00152","28,023693","51,027874","16,010456"
3001,bandpass,abs,ica,xyz,none,none,fft,"0,017738","65,983276","7,668863","11,668609","18,687614","65,983276","12,844126"
3007,bandpass,abs,ica,xyz,smooth,none,fft,"0,017738","65,983276","7,668863","11,668609","18,687614","65,983276","12,844126"
3013,bandpass,abs,ica,xyz,bandpass,none,fft,"0,017738","65,983276","7,668863","11,668609","18,687614","65,983276","12,844126"
3019,bandpass,abs,ica,xyz,wavelet,none,fft,"0,017738","65,983276","7,668863","11,668609","18,687614","65,983276","12,844126"
2742,bandpass,abs,pca,z,none,abs,wavelet,"0,053786","78,086861","7,736839","13,599965","22,282879","78,086861","15,254148"
2748,bandpass,abs,pca,z,smooth,abs,wavelet,"0,053786","78,086861","7,736839","13,599965","22,282879","78,086861","15,254148"
2754,bandpass,abs,pca,z,bandpass,abs,wavelet,"0,053786","78,086861","7,736839","13,599965","22,282879","78,086861","15,254148"
