config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.142408
2,none,none,none,x,none,none,corr,1.007075,44.059104,27.808127,33.429755,36.939722,44.059104,28.569836
3,none,none,none,x,none,none,wavelet,0.282089,43.868992,17.985787,23.309608,27.038030,43.868992,19.250231
4,none,none,none,x,none,abs,fft,0.014190,61.029901,10.002787,22.022299,41.728685,61.029901,21.428268
5,none,none,none,x,none,abs,corr,3.034874,43.423350,29.161254,34.734712,37.612281,43.423350,29.721178
6,none,none,none,x,none,abs,wavelet,0.282089,45.021785,19.933399,25.666243,29.628194,45.021785,20.951206
7,none,none,none,x,smooth,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.142408
8,none,none,none,x,smooth,none,corr,1.007075,44.059104,27.808127,33.429755,36.939722,44.059104,28.569836
9,none,none,none,x,smooth,none,wavelet,0.282089,43.868992,17.985787,23.309608,27.038030,43.868992,19.250231
10,none,none,none,x,smooth,abs,fft,0.014190,61.029901,10.002787,22.022299,41.728685,61.029901,21.428268
11,none,none,none,x,smooth,abs,corr,3.034874,43.423350,29.161254,34.734712,37.612281,43.423350,29.721178
12,none,none,none,x,smooth,abs,wavelet,0.282089,45.021785,19.933399,25.666243,29.628194,45.021785,20.951206
13,none,none,none,x,bandpass,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.142408
14,none,none,none,x,bandpass,none,corr,1.007075,44.059104,27.808127,33.429755,36.939722,44.059104,28.569836
15,none,none,none,x,bandpass,none,wavelet,0.282089,43.868992,17.985787,23.309608,27.038030,43.868992,19.250231
16,none,none,none,x,bandpass,abs,fft,0.014190,61.029901,10.002787,22.022299,41.728685,61.029901,21.428268
17,none,none,none,x,bandpass,abs,corr,3.034874,43.423350,29.161254,34.734712,37.612281,43.423350,29.721178
18,none,none,none,x,bandpass,abs,wavelet,0.282089,45.021785,19.933399,25.666243,29.628194,45.021785,20.951206
19,none,none,none,x,wavelet,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.142408
20,none,none,none,x,wavelet,none,corr,1.007075,44.059104,27.808127,33.429755,36.939722,44.059104,28.569836
21,none,none,none,x,wavelet,none,wavelet,0.282089,43.868992,17.985787,23.309608,27.038030,43.868992,19.250231
22,none,none,none,x,wavelet,abs,fft,0.014190,61.029901,10.002787,22.022299,41.728685,61.029901,21.428268
23,none,none,none,x,wavelet,abs,corr,3.034874,43.423350,29.161254,34.734712,37.612281,43.423350,29.721178
24,none,none,none,x,wavelet,abs,wavelet,0.282089,45.021785,19.933399,25.666243,29.628194,45.021785,20.951206
25,none,none,none,y,none,none,fft,0.015711,59.029901,25.024073,41.026860,51.029749,59.029901,31.081329
26,none,none,none,y,none,none,corr,1.240540,44.702845,27.089323,32.782493,38.243916,44.702845,28.309464
27,none,none,none,y,none,none,wavelet,0.027745,52.173027,17.431418,22.683976,26.488268,52.173027,18.825197
28,none,none,none,y,none,abs,fft,0.015204,58.029901,15.019765,35.975674,46.029090,58.029901,26.374842
29,none,none,none,y,none,abs,corr,2.152642,47.703608,28.144018,33.103336,38.205386,47.703608,29.156183
