config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,0.017738,58.029901,31.023819,45.026860,57.029546,58.029901,35.700825
2,none,none,none,x,none,none,corr,8.592713,44.059104,33.321797,36.328417,38.957862,44.059104,32.449765
3,none,none,none,x,none,none,wavelet,2.192108,31.023713,22.549482,26.149208,29.554463,31.023713,22.522615
4,none,none,none,x,none,abs,fft,0.015204,57.029901,3.001520,16.020272,32.824275,57.029901,19.277396
5,none,none,none,x,none,abs,corr,8.123721,41.906477,33.192206,36.282836,37.745872,41.906477,32.764042
6,none,none,none,x,none,abs,wavelet,4.407523,34.007075,26.185618,29.314769,32.104702,34.007075,24.610693
7,none,none,none,x,smooth,none,fft,0.017738,58.029901,31.023819,45.026860,57.029546,58.029901,35.700825
8,none,none,none,x,smooth,none,corr,8.592713,44.059104,33.321797,36.328417,38.957862,44.059104,32.449765
9,none,none,none,x,smooth,none,wavelet,2.192108,31.023713,22.549482,26.149208,29.554463,31.023713,22.522615
10,none,none,none,x,smooth,abs,fft,0.015204,57.029901,3.001520,16.020272,32.824275,57.029901,19.277396
11,none,none,none,x,smooth,abs,corr,8.123721,41.906477,33.192206,36.282836,37.745872,41.906477,32.764042
12,none,none,none,x,smooth,abs,wavelet,4.407523,34.007075,26.185618,29.314769,32.104702,34.007075,24.610693
13,none,none,none,x,bandpass,none,fft,0.017738,58.029901,31.023819,45.026860,57.029546,58.029901,35.700825
14,none,none,none,x,bandpass,none,corr,8.592713,44.059104,33.321797,36.328417,38.957862,44.059104,32.449765
15,none,none,none,x,bandpass,none,wavelet,2.192108,31.023713,22.549482,26.149208,29.554463,31.023713,22.522615
16,none,none,none,x,bandpass,abs,fft,0.015204,57.029901,3.001520,16.020272,32.824275,57.029901,19.277396
17,none,none,none,x,bandpass,abs,corr,8.123721,41.906477,33.192206,36.282836,37.745872,41.906477,32.764042
18,none,none,none,x,bandpass,abs,wavelet,4.407523,34.007075,26.185618,29.314769,32.104702,34.007075,24.610693
19,none,none,none,x,wavelet,none,fft,0.017738,58.029901,31.023819,45.026860,57.029546,58.029901,35.700825
20,none,none,none,x,wavelet,none,corr,8.592713,44.059104,33.321797,36.328417,38.957862,44.059104,32.449765
21,none,none,none,x,wavelet,none,wavelet,2.192108,31.023713,22.549482,26.149208,29.554463,31.023713,22.522615
22,none,none,none,x,wavelet,abs,fft,0.015204,57.029901,3.001520,16.020272,32.824275,57.029901,19.277396
23,none,none,none,x,wavelet,abs,corr,8.123721,41.906477,33.192206,36.282836,37.745872,41.906477,32.764042
24,none,none,none,x,wavelet,abs,wavelet,4.407523,34.007075,26.185618,29.314769,32.104702,34.007075,24.610693
25,none,none,none,y,none,none,fft,0.015711,59.029901,14.519258,29.022806,45.329039,59.029901,25.121843
26,none,none,none,y,none,none,corr,5.976037,44.702845,34.065919,38.296199,41.056600,44.702845,33.610556
27,none,none,none,y,none,none,wavelet,1.236068,30.942151,20.778897,25.653078,27.404200,30.942151,21.039567
28,none,none,none,y,none,abs,fft,0.015204,58.029901,13.520779,28.984796,47.629293,58.029901,25.112790
29,none,none,none,y,none,abs,corr,5.335476,44.064875,33.916026,37.000473,41.043081,44.064875,33.661680
30,none,none,none,y,none,abs,wavelet,1.236068,30.964221,21.012032,25.818812,28.230086,30.964221,21.465653
31,none,none,none,y,smooth,none,fft,0.015711,59.029901,14.519258,29.022806,45.329039,59.029901,25.121843
32,none,none,none,y,smooth,none,corr,5.976037,44.702845,34.065919,38.296199,41.056600,44.702845,33.610556
33,none,none,none,y,smooth,none,wavelet,1.236068,30.942151,20.778897,25.653078,27.404200,30.942151,21.039567
34,none,none,none,y,smooth,abs,fft,0.015204,58.029901,13.520779,28.984796,47.629293,58.029901,25.112790
35,none,none,none,y,smooth,abs,corr,5.335476,44.064875,33.916026,37.000473,41.043081,44.064875,33.661680
36,none,none,none,y,smooth,abs,wavelet,1.236068,30.964221,21.012032,25.818812,28.230086,30.964221,21.465653
37,none,none,none,y,bandpass,none,fft,0.015711,59.029901,14.519258,29.022806,45.329039,59.029901,25.121843
38,none,none,none,y,bandpass,none,corr,5.976037,44.702845,34.065919,38.296199,41.056600,44.702845,33.610556
39,none,none,none,y,bandpass,none,wavelet,1.236068,30.942151,20.778897,25.653078,27.404200,30.942151,21.039567
40,none,none,none,y,bandpass,abs,fft,0.015204,58.029901,13.520779,28.984796,47.629293,58.029901,25.112790
41,none,none,none,y,bandpass,abs,corr,5.335476,44.064875,33.916026,37.000473,41.043081,44.064875,33.661680
42,none,none,none,y,bandpass,abs,wavelet,1.236068,30.964221,21.012032,25.818812,28.230086,30.964221,21.465653
43,none,none,none,y,wavelet,none,fft,0.015711,59.029901,14.519258,29.022806,45.329039,59.029901,25.121843
44,none,none,none,y,wavelet,none,corr,5.976037,44.702845,34.065919,38.296199,41.056600,44.702845,33.610556
