config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1228,smooth,none,pca,z,none,abs,fft,"0,014697","11,985303","0,98505","1,015204",7,"11,985303","3,894975"
1234,smooth,none,pca,z,smooth,abs,fft,"0,014697","11,985303","0,98505","1,015204",7,"11,985303","3,894975"
1240,smooth,none,pca,z,bandpass,abs,fft,"0,014697","11,985303","0,98505","1,015204",7,"11,985303","3,894975"
1246,smooth,none,pca,z,wavelet,abs,fft,"0,014697","11,985303","0,98505","1,015204",7,"11,985303","3,894975"
1732,smooth,abs,pca,z,none,abs,fft,"0,014697","48,02686",1,"4,015204","30,006082","48,02686","15,717348"
1738,smooth,abs,pca,z,smooth,abs,fft,"0,014697","48,02686",1,"4,015204","30,006082","48,02686","15,717348"
1744,smooth,abs,pca,z,bandpass,abs,fft,"0,014697","48,02686",1,"4,015204","30,006082","48,02686","15,717348"
1750,smooth,abs,pca,z,wavelet,abs,fft,"0,014697","48,02686",1,"4,015204","30,006082","48,02686","15,717348"
2404,bandpass,none,ica,z,none,abs,fft,"0,015204","21,019765","1,498986","4,015204","16,518751","21,019765","7,830868"
2410,bandpass,none,ica,z,smooth,abs,fft,"0,015204","21,019765","1,498986","4,015204","16,518751","21,019765","7,830868"
2416,bandpass,none,ica,z,bandpass,abs,fft,"0,015204","21,019765","1,498986","4,015204","16,518751","21,019765","7,830868"
2422,bandpass,none,ica,z,wavelet,abs,fft,"0,015204","21,019765","1,498986","4,015204","16,518751","21,019765","7,830868"
3244,wavelet,none,pca,z,none,abs,fft,"0,014697","49,027367","1,500507","38,023819","45,0261","49,027367","23,837203"
3250,wavelet,none,pca,z,smooth,abs,fft,"0,014697","49,027367","1,500507","38,023819","45,0261","49,027367","23,837203"
3256,wavelet,none,pca,z,bandpass,abs,fft,"0,014697","49,027367","1,500507","38,023819","45,0261","49,027367","23,837203"
3262,wavelet,none,pca,z,wavelet,abs,fft,"0,014697","49,027367","1,500507","38,023819","45,0261","49,027367","23,837203"
220,none,none,pca,z,none,abs,fft,"0,014697","58,028887","1,515204","11,985303","53,528127","58,028887","24,499072"
226,none,none,pca,z,smooth,abs,fft,"0,014697","58,028887","1,515204","11,985303","53,528127","58,028887","24,499072"
232,none,none,pca,z,bandpass,abs,fft,"0,014697","58,028887","1,515204","11,985303","53,528127","58,028887","24,499072"
238,none,none,pca,z,wavelet,abs,fft,"0,014697","58,028887","1,515204","11,985303","53,528127","58,028887","24,499072"
