config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
3220,wavelet,none,pca,y,none,abs,fft,"0,015204","59,029901","1,017231","6,986317","15,019714","59,029901","12,639488"
3226,wavelet,none,pca,y,smooth,abs,fft,"0,015204","59,029901","1,017231","6,986317","15,019714","59,029901","12,639488"
3232,wavelet,none,pca,y,bandpass,abs,fft,"0,015204","59,029901","1,017231","6,986317","15,019714","59,029901","12,639488"
3238,wavelet,none,pca,y,wavelet,abs,fft,"0,015204","59,029901","1,017231","6,986317","15,019714","59,029901","12,639488"
196,none,none,pca,y,none,abs,fft,"0,015204","59,029901","1,017484","7,018751","28,02458","59,029901","16,415173"
202,none,none,pca,y,smooth,abs,fft,"0,015204","59,029901","1,017484","7,018751","28,02458","59,029901","16,415173"
208,none,none,pca,y,bandpass,abs,fft,"0,015204","59,029901","1,017484","7,018751","28,02458","59,029901","16,415173"
214,none,none,pca,y,wavelet,abs,fft,"0,015204","59,029901","1,017484","7,018751","28,02458","59,029901","16,415173"
3724,wavelet,abs,pca,y,none,abs,fft,"0,015204","59,029901","1,017484","7,986317","25,923718","59,029901","13,882861"
3730,wavelet,abs,pca,y,smooth,abs,fft,"0,015204","59,029901","1,017484","7,986317","25,923718","59,029901","13,882861"
3736,wavelet,abs,pca,y,bandpass,abs,fft,"0,015204","59,029901","1,017484","7,986317","25,923718","59,029901","13,882861"
3742,wavelet,abs,pca,y,wavelet,abs,fft,"0,015204","59,029901","1,017484","7,986317","25,923718","59,029901","13,882861"
700,none,abs,pca,y,none,abs,fft,"0,015204","59,029394","1,020525","7,984796","28,022299","59,029394","15,684601"
706,none,abs,pca,y,smooth,abs,fft,"0,015204","59,029394","1,020525","7,984796","28,022299","59,029394","15,684601"
712,none,abs,pca,y,bandpass,abs,fft,"0,015204","59,029394","1,020525","7,984796","28,022299","59,029394","15,684601"
718,none,abs,pca,y,wavelet,abs,fft,"0,015204","59,029394","1,020525","7,984796","28,022299","59,029394","15,684601"
868,none,abs,ica,y,none,abs,fft,"0,015204","57,029901","1,50076","17,019765","36,928279","57,029901","18,648351"
874,none,abs,ica,y,smooth,abs,fft,"0,015204","57,029901","1,50076","17,019765","36,928279","57,029901","18,648351"
880,none,abs,ica,y,bandpass,abs,fft,"0,015204","57,029901","1,50076","17,019765","36,928279","57,029901","18,648351"
886,none,abs,ica,y,wavelet,abs,fft,"0,015204","57,029901","1,50076","17,019765","36,928279","57,029901","18,648351"
3748,wavelet,abs,pca,z,none,abs,fft,"0,015204","54,029901","1,983022","10,019765","32,025796","54,029901","16,272663"
3754,wavelet,abs,pca,z,smooth,abs,fft,"0,015204","54,029901","1,983022","10,019765","32,025796","54,029901","16,272663"
3760,wavelet,abs,pca,z,bandpass,abs,fft,"0,015204","54,029901","1,983022","10,019765","32,025796","54,029901","16,272663"
3766,wavelet,abs,pca,z,wavelet,abs,fft,"0,015204","54,029901","1,983022","10,019765","32,025796","54,029901","16,272663"
3796,wavelet,abs,pca,yz,none,abs,fft,"0,015204","45,026353","2,017991","11,019765","24,72235","45,026353","12,819064"
3802,wavelet,abs,pca,yz,smooth,abs,fft,"0,015204","45,026353","2,017991","11,019765","24,72235","45,026353","12,819064"
3808,wavelet,abs,pca,yz,bandpass,abs,fft,"0,015204","45,026353","2,017991","11,019765","24,72235","45,026353","12,819064"
3814,wavelet,abs,pca,yz,wavelet,abs,fft,"0,015204","45,026353","2,017991","11,019765","24,72235","45,026353","12,819064"
3292,wavelet,none,pca,yz,none,abs,fft,"0,015204","53,028381","2,020145","10,019005","24,822299","53,028381","13,692648"
3298,wavelet,none,pca,yz,smooth,abs,fft,"0,015204","53,028381","2,020145","10,019005","24,822299","53,028381","13,692648"
3304,wavelet,none,pca,yz,bandpass,abs,fft,"0,015204","53,028381","2,020145","10,019005","24,822299","53,028381","13,692648"
3310,wavelet,none,pca,yz,wavelet,abs,fft,"0,015204","53,028381","2,020145","10,019005","24,822299","53,028381","13,692648"
892,none,abs,ica,z,none,abs,fft,"0,015204","57,029901","2,501267","17,019765","39,026759","57,029901","20,199325"
898,none,abs,ica,z,smooth,abs,fft,"0,015204","57,029901","2,501267","17,019765","39,026759","57,029901","20,199325"
904,none,abs,ica,z,bandpass,abs,fft,"0,015204","57,029901","2,501267","17,019765","39,026759","57,029901","20,199325"
910,none,abs,ica,z,wavelet,abs,fft,"0,015204","57,029901","2,501267","17,019765","39,026759","57,029901","20,199325"
1204,smooth,none,pca,y,none,abs,fft,"0,015204","57,029901","2,982009","15,019258","32,825695","57,029901","18,148591"
1210,smooth,none,pca,y,smooth,abs,fft,"0,015204","57,029901","2,982009","15,019258","32,825695","57,029901","18,148591"
1216,smooth,none,pca,y,bandpass,abs,fft,"0,015204","57,029901","2,982009","15,019258","32,825695","57,029901","18,148591"
1222,smooth,none,pca,y,wavelet,abs,fft,"0,015204","57,029901","2,982009","15,019258","32,825695","57,029901","18,148591"
3244,wavelet,none,pca,z,none,abs,fft,"0,015204","59,029901","2,982009","13,020272","38,725289","59,029901","19,117671"
3250,wavelet,none,pca,z,smooth,abs,fft,"0,015204","59,029901","2,982009","13,020272","38,725289","59,029901","19,117671"
3256,wavelet,none,pca,z,bandpass,abs,fft,"0,015204","59,029901","2,982009","13,020272","38,725289","59,029901","19,117671"
3262,wavelet,none,pca,z,wavelet,abs,fft,"0,015204","59,029901","2,982009","13,020272","38,725289","59,029901","19,117671"
844,none,abs,ica,x,none,abs,fft,"0,015204","59,029394","2,983783","17,021285","38,727772","59,029394","19,367461"
850,none,abs,ica,x,smooth,abs,fft,"0,015204","59,029394","2,983783","17,021285","38,727772","59,029394","19,367461"
856,none,abs,ica,x,bandpass,abs,fft,"0,015204","59,029394","2,983783","17,021285","38,727772","59,029394","19,367461"
862,none,abs,ica,x,wavelet,abs,fft,"0,015204","59,029394","2,983783","17,021285","38,727772","59,029394","19,367461"
1708,smooth,abs,pca,y,none,abs,fft,"0,015204","58,029901","2,984289","17,019765","39,427468","58,029901","19,109179"
