config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,0.016724,14.702110,12.524326,21.024326,34.425948,50.029394,19.917089
2,none,none,none,x,none,none,corr,1.007075,26.161850,26.862412,30.162569,31.316091,36.903905,26.881429
3,none,none,none,x,none,none,wavelet,0.316695,16.486792,16.876193,20.247701,22.600805,32.804308,17.478303
4,none,none,none,x,none,abs,fft,0.015204,10.261601,7.018498,16.021032,25.022806,51.029901,15.775364
5,none,none,none,x,none,abs,corr,3.034874,27.337752,28.357427,30.263184,33.746278,36.349651,28.030494
6,none,none,none,x,none,abs,wavelet,0.314142,17.861871,19.076367,22.043213,24.977064,31.695079,19.111437
7,none,none,none,x,smooth,none,fft,0.016724,14.702110,12.524326,21.024326,34.425948,50.029394,19.917089
8,none,none,none,x,smooth,none,corr,1.007075,26.161850,26.862412,30.162569,31.316091,36.903905,26.881429
9,none,none,none,x,smooth,none,wavelet,0.316695,16.486792,16.876193,20.247701,22.600805,32.804308,17.478303
10,none,none,none,x,smooth,abs,fft,0.015204,10.261601,7.018498,16.021032,25.022806,51.029901,15.775364
11,none,none,none,x,smooth,abs,corr,3.034874,27.337752,28.357427,30.263184,33.746278,36.349651,28.030494
12,none,none,none,x,smooth,abs,wavelet,0.314142,17.861871,19.076367,22.043213,24.977064,31.695079,19.111437
13,none,none,none,x,bandpass,none,fft,0.016724,14.702110,12.524326,21.024326,34.425948,50.029394,19.917089
14,none,none,none,x,bandpass,none,corr,1.007075,26.161850,26.862412,30.162569,31.316091,36.903905,26.881429
15,none,none,none,x,bandpass,none,wavelet,0.316695,16.486792,16.876193,20.247701,22.600805,32.804308,17.478303
16,none,none,none,x,bandpass,abs,fft,0.015204,10.261601,7.018498,16.021032,25.022806,51.029901,15.775364
17,none,none,none,x,bandpass,abs,corr,3.034874,27.337752,28.357427,30.263184,33.746278,36.349651,28.030494
18,none,none,none,x,bandpass,abs,wavelet,0.314142,17.861871,19.076367,22.043213,24.977064,31.695079,19.111437
19,none,none,none,x,wavelet,none,fft,0.016724,14.702110,12.524326,21.024326,34.425948,50.029394,19.917089
20,none,none,none,x,wavelet,none,corr,1.007075,26.161850,26.862412,30.162569,31.316091,36.903905,26.881429
21,none,none,none,x,wavelet,none,wavelet,0.316695,16.486792,16.876193,20.247701,22.600805,32.804308,17.478303
22,none,none,none,x,wavelet,abs,fft,0.015204,10.261601,7.018498,16.021032,25.022806,51.029901,15.775364
23,none,none,none,x,wavelet,abs,corr,3.034874,27.337752,28.357427,30.263184,33.746278,36.349651,28.030494
24,none,none,none,x,wavelet,abs,wavelet,0.314142,17.861871,19.076367,22.043213,24.977064,31.695079,19.111437
25,none,none,none,y,none,none,fft,0.016217,19.548742,19.521539,30.024580,43.027874,52.029901,24.620432
26,none,none,none,y,none,none,corr,1.240540,24.131033,25.558938,28.497576,30.577457,35.104397,25.084415
27,none,none,none,y,none,none,wavelet,0.027745,15.817015,16.172968,19.402638,22.384830,27.316695,16.747414
28,none,none,none,y,none,abs,fft,0.015204,12.793461,7.484543,23.023313,38.227367,50.029394,19.315733
29,none,none,none,y,none,abs,corr,2.152642,26.139064,27.171569,29.639183,32.145219,38.749555,26.952140
30,none,none,none,y,none,abs,wavelet,0.770615,17.531248,17.928792,22.129061,23.701144,31.443746,18.484354
31,none,none,none,y,smooth,none,fft,0.016217,19.548742,19.521539,30.024580,43.027874,52.029901,24.620432
32,none,none,none,y,smooth,none,corr,1.240540,24.131033,25.558938,28.497576,30.577457,35.104397,25.084415
33,none,none,none,y,smooth,none,wavelet,0.027745,15.817015,16.172968,19.402638,22.384830,27.316695,16.747414
34,none,none,none,y,smooth,abs,fft,0.015204,12.793461,7.484543,23.023313,38.227367,50.029394,19.315733
35,none,none,none,y,smooth,abs,corr,2.152642,26.139064,27.171569,29.639183,32.145219,38.749555,26.952140
36,none,none,none,y,smooth,abs,wavelet,0.770615,17.531248,17.928792,22.129061,23.701144,31.443746,18.484354
37,none,none,none,y,bandpass,none,fft,0.016217,19.548742,19.521539,30.024580,43.027874,52.029901,24.620432
38,none,none,none,y,bandpass,none,corr,1.240540,24.131033,25.558938,28.497576,30.577457,35.104397,25.084415
39,none,none,none,y,bandpass,none,wavelet,0.027745,15.817015,16.172968,19.402638,22.384830,27.316695,16.747414
40,none,none,none,y,bandpass,abs,fft,0.015204,12.793461,7.484543,23.023313,38.227367,50.029394,19.315733
41,none,none,none,y,bandpass,abs,corr,2.152642,26.139064,27.171569,29.639183,32.145219,38.749555,26.952140
42,none,none,none,y,bandpass,abs,wavelet,0.770615,17.531248,17.928792,22.129061,23.701144,31.443746,18.484354
