config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,34.022806,49.227620,49.027367,56.029394,59.029648,61.029901,49.863305
2,none,none,none,x,none,none,corr,24.821151,35.013897,35.065443,37.807048,40.365443,41.049929,35.267928
3,none,none,none,x,none,none,wavelet,13.865161,25.492804,26.258006,27.402306,33.577311,35.168331,26.174396
4,none,none,none,x,none,abs,fft,0.014190,34.623921,45.027620,48.027367,58.529648,61.029901,40.222869
5,none,none,none,x,none,abs,corr,26.775494,37.014327,37.427957,39.705027,42.595280,43.423350,37.280650
6,none,none,none,x,none,abs,wavelet,11.115371,27.804527,27.961827,33.469082,34.599381,35.168331,28.574119
7,none,none,none,x,smooth,none,fft,34.022806,49.227620,49.027367,56.029394,59.029648,61.029901,49.863305
8,none,none,none,x,smooth,none,corr,24.821151,35.013897,35.065443,37.807048,40.365443,41.049929,35.267928
9,none,none,none,x,smooth,none,wavelet,13.865161,25.492804,26.258006,27.402306,33.577311,35.168331,26.174396
10,none,none,none,x,smooth,abs,fft,0.014190,34.623921,45.027620,48.027367,58.529648,61.029901,40.222869
11,none,none,none,x,smooth,abs,corr,26.775494,37.014327,37.427957,39.705027,42.595280,43.423350,37.280650
12,none,none,none,x,smooth,abs,wavelet,11.115371,27.804527,27.961827,33.469082,34.599381,35.168331,28.574119
13,none,none,none,x,bandpass,none,fft,34.022806,49.227620,49.027367,56.029394,59.029648,61.029901,49.863305
14,none,none,none,x,bandpass,none,corr,24.821151,35.013897,35.065443,37.807048,40.365443,41.049929,35.267928
15,none,none,none,x,bandpass,none,wavelet,13.865161,25.492804,26.258006,27.402306,33.577311,35.168331,26.174396
16,none,none,none,x,bandpass,abs,fft,0.014190,34.623921,45.027620,48.027367,58.529648,61.029901,40.222869
17,none,none,none,x,bandpass,abs,corr,26.775494,37.014327,37.427957,39.705027,42.595280,43.423350,37.280650
18,none,none,none,x,bandpass,abs,wavelet,11.115371,27.804527,27.961827,33.469082,34.599381,35.168331,28.574119
19,none,none,none,x,wavelet,none,fft,34.022806,49.227620,49.027367,56.029394,59.029648,61.029901,49.863305
20,none,none,none,x,wavelet,none,corr,24.821151,35.013897,35.065443,37.807048,40.365443,41.049929,35.267928
21,none,none,none,x,wavelet,none,wavelet,13.865161,25.492804,26.258006,27.402306,33.577311,35.168331,26.174396
22,none,none,none,x,wavelet,abs,fft,0.014190,34.623921,45.027620,48.027367,58.529648,61.029901,40.222869
23,none,none,none,x,wavelet,abs,corr,26.775494,37.014327,37.427957,39.705027,42.595280,43.423350,37.280650
24,none,none,none,x,wavelet,abs,wavelet,11.115371,27.804527,27.961827,33.469082,34.599381,35.168331,28.574119
25,none,none,none,y,none,none,fft,1.986317,37.621843,44.025847,48.029901,55.529141,56.029394,41.206792
26,none,none,none,y,none,none,corr,24.390146,37.076191,38.785053,39.952917,41.589361,42.383197,37.400600
27,none,none,none,y,none,none,wavelet,9.879839,25.110234,26.272372,28.072643,30.089945,31.175933,25.707600
28,none,none,none,y,none,abs,fft,0.015204,24.618549,24.520779,42.025340,46.528127,48.029901,30.489639
29,none,none,none,y,none,abs,corr,24.267720,36.907306,37.538571,40.856094,41.928063,42.349651,37.271239
30,none,none,none,y,none,abs,wavelet,9.879839,25.147294,26.272372,28.072643,30.191144,31.175933,25.745521
31,none,none,none,y,smooth,none,fft,1.986317,37.621843,44.025847,48.029901,55.529141,56.029394,41.206792
32,none,none,none,y,smooth,none,corr,24.390146,37.076191,38.785053,39.952917,41.589361,42.383197,37.400600
33,none,none,none,y,smooth,none,wavelet,9.879839,25.110234,26.272372,28.072643,30.089945,31.175933,25.707600
34,none,none,none,y,smooth,abs,fft,0.015204,24.618549,24.520779,42.025340,46.528127,48.029901,30.489639
35,none,none,none,y,smooth,abs,corr,24.267720,36.907306,37.538571,40.856094,41.928063,42.349651,37.271239
36,none,none,none,y,smooth,abs,wavelet,9.879839,25.147294,26.272372,28.072643,30.191144,31.175933,25.745521
37,none,none,none,y,bandpass,none,fft,1.986317,37.621843,44.025847,48.029901,55.529141,56.029394,41.206792
38,none,none,none,y,bandpass,none,corr,24.390146,37.076191,38.785053,39.952917,41.589361,42.383197,37.400600
39,none,none,none,y,bandpass,none,wavelet,9.879839,25.110234,26.272372,28.072643,30.089945,31.175933,25.707600
40,none,none,none,y,bandpass,abs,fft,0.015204,24.618549,24.520779,42.025340,46.528127,48.029901,30.489639
41,none,none,none,y,bandpass,abs,corr,24.267720,36.907306,37.538571,40.856094,41.928063,42.349651,37.271239
42,none,none,none,y,bandpass,abs,wavelet,9.879839,25.147294,26.272372,28.072643,30.191144,31.175933,25.745521
43,none,none,none,y,wavelet,none,fft,1.986317,37.621843,44.025847,48.029901,55.529141,56.029394,41.206792
44,none,none,none,y,wavelet,none,corr,24.390146,37.076191,38.785053,39.952917,41.589361,42.383197,37.400600
45,none,none,none,y,wavelet,none,wavelet,9.879839,25.110234,26.272372,28.072643,30.089945,31.175933,25.707600
46,none,none,none,y,wavelet,abs,fft,0.015204,24.618549,24.520779,42.025340,46.528127,48.029901,30.489639
47,none,none,none,y,wavelet,abs,corr,24.267720,36.907306,37.538571,40.856094,41.928063,42.349651,37.271239
48,none,none,none,y,wavelet,abs,wavelet,9.879839,25.147294,26.272372,28.072643,30.191144,31.175933,25.745521
49,none,none,none,z,none,none,fft,0.015204,38.424884,44.027367,51.028381,57.529394,61.029901,42.133864
50,none,none,none,z,none,none,corr,24.279683,35.228872,36.543054,38.083923,40.355135,40.476689,35.531422
51,none,none,none,z,none,none,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
52,none,none,none,z,none,abs,fft,0.015204,36.624428,44.027367,51.028381,57.529394,61.029901,41.703602
53,none,none,none,z,none,abs,corr,22.763118,34.969808,36.315030,38.083923,40.355135,40.476689,35.318708
54,none,none,none,z,none,abs,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
55,none,none,none,z,smooth,none,fft,0.015204,38.424884,44.027367,51.028381,57.529394,61.029901,42.133864
56,none,none,none,z,smooth,none,corr,24.279683,35.228872,36.543054,38.083923,40.355135,40.476689,35.531422
57,none,none,none,z,smooth,none,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
58,none,none,none,z,smooth,abs,fft,0.015204,36.624428,44.027367,51.028381,57.529394,61.029901,41.703602
59,none,none,none,z,smooth,abs,corr,22.763118,34.969808,36.315030,38.083923,40.355135,40.476689,35.318708
60,none,none,none,z,smooth,abs,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
61,none,none,none,z,bandpass,none,fft,0.015204,38.424884,44.027367,51.028381,57.529394,61.029901,42.133864
62,none,none,none,z,bandpass,none,corr,24.279683,35.228872,36.543054,38.083923,40.355135,40.476689,35.531422
63,none,none,none,z,bandpass,none,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
64,none,none,none,z,bandpass,abs,fft,0.015204,36.624428,44.027367,51.028381,57.529394,61.029901,41.703602
65,none,none,none,z,bandpass,abs,corr,22.763118,34.969808,36.315030,38.083923,40.355135,40.476689,35.318708
66,none,none,none,z,bandpass,abs,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
67,none,none,none,z,wavelet,none,fft,0.015204,38.424884,44.027367,51.028381,57.529394,61.029901,42.133864
68,none,none,none,z,wavelet,none,corr,24.279683,35.228872,36.543054,38.083923,40.355135,40.476689,35.531422
69,none,none,none,z,wavelet,none,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
70,none,none,none,z,wavelet,abs,fft,0.015204,36.624428,44.027367,51.028381,57.529394,61.029901,41.703602
71,none,none,none,z,wavelet,abs,corr,22.763118,34.969808,36.315030,38.083923,40.355135,40.476689,35.318708
72,none,none,none,z,wavelet,abs,wavelet,11.335529,25.470665,24.093739,30.059211,33.355900,34.360209,26.187295
73,none,none,none,xy,none,none,fft,16.018245,43.226100,47.028127,52.028127,53.528634,55.028887,44.595090
74,none,none,none,xy,none,none,corr,24.605649,36.045044,36.749527,38.879982,39.693941,40.238241,36.288332
75,none,none,none,xy,none,none,wavelet,11.872500,25.301519,26.497269,28.203131,31.600799,33.172132,25.883462
76,none,none,none,xy,none,abs,fft,0.986063,29.619816,31.022679,41.024833,47.028381,48.027367,32.754341
77,none,none,none,xy,none,abs,corr,25.521607,36.960816,39.324832,39.953771,40.649995,40.694238,37.234862
78,none,none,none,xy,none,abs,wavelet,10.497605,26.475911,27.276570,30.391612,32.111834,33.172132,27.119402
79,none,none,none,xy,smooth,none,fft,16.018245,43.226100,47.028127,52.028127,53.528634,55.028887,44.595090
80,none,none,none,xy,smooth,none,corr,24.605649,36.045044,36.749527,38.879982,39.693941,40.238241,36.288332
81,none,none,none,xy,smooth,none,wavelet,11.872500,25.301519,26.497269,28.203131,31.600799,33.172132,25.883462
82,none,none,none,xy,smooth,abs,fft,0.986063,29.619816,31.022679,41.024833,47.028381,48.027367,32.754341
83,none,none,none,xy,smooth,abs,corr,25.521607,36.960816,39.324832,39.953771,40.649995,40.694238,37.234862
84,none,none,none,xy,smooth,abs,wavelet,10.497605,26.475911,27.276570,30.391612,32.111834,33.172132,27.119402
85,none,none,none,xy,bandpass,none,fft,16.018245,43.226100,47.028127,52.028127,53.528634,55.028887,44.595090
86,none,none,none,xy,bandpass,none,corr,24.605649,36.045044,36.749527,38.879982,39.693941,40.238241,36.288332
