config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,0.016724,20.535018,15.520272,32.023819,49.029394,58.029901,27.285915
2,none,none,none,x,none,none,corr,1.007075,28.370730,28.743961,32.705027,36.514085,44.059104,29.214978
3,none,none,none,x,none,none,wavelet,0.316695,18.514602,19.287113,23.142932,27.057411,32.804308,19.632639
4,none,none,none,x,none,abs,fft,0.015204,10.719677,5.484543,16.020272,26.821437,57.029901,17.248224
5,none,none,none,x,none,abs,corr,3.034874,29.252478,29.360410,33.742134,36.342969,41.906477,29.995536
6,none,none,none,x,none,abs,wavelet,0.314142,20.092611,20.164887,25.666243,29.570594,34.007075,21.459622
7,none,none,none,x,smooth,none,fft,0.016724,20.535018,15.520272,32.023819,49.029394,58.029901,27.285915
8,none,none,none,x,smooth,none,corr,1.007075,28.370730,28.743961,32.705027,36.514085,44.059104,29.214978
9,none,none,none,x,smooth,none,wavelet,0.316695,18.514602,19.287113,23.142932,27.057411,32.804308,19.632639
10,none,none,none,x,smooth,abs,fft,0.015204,10.719677,5.484543,16.020272,26.821437,57.029901,17.248224
11,none,none,none,x,smooth,abs,corr,3.034874,29.252478,29.360410,33.742134,36.342969,41.906477,29.995536
12,none,none,none,x,smooth,abs,wavelet,0.314142,20.092611,20.164887,25.666243,29.570594,34.007075,21.459622
13,none,none,none,x,bandpass,none,fft,0.016724,20.535018,15.520272,32.023819,49.029394,58.029901,27.285915
14,none,none,none,x,bandpass,none,corr,1.007075,28.370730,28.743961,32.705027,36.514085,44.059104,29.214978
15,none,none,none,x,bandpass,none,wavelet,0.316695,18.514602,19.287113,23.142932,27.057411,32.804308,19.632639
16,none,none,none,x,bandpass,abs,fft,0.015204,10.719677,5.484543,16.020272,26.821437,57.029901,17.248224
17,none,none,none,x,bandpass,abs,corr,3.034874,29.252478,29.360410,33.742134,36.342969,41.906477,29.995536
18,none,none,none,x,bandpass,abs,wavelet,0.314142,20.092611,20.164887,25.666243,29.570594,34.007075,21.459622
19,none,none,none,x,wavelet,none,fft,0.016724,20.535018,15.520272,32.023819,49.029394,58.029901,27.285915
20,none,none,none,x,wavelet,none,corr,1.007075,28.370730,28.743961,32.705027,36.514085,44.059104,29.214978
21,none,none,none,x,wavelet,none,wavelet,0.316695,18.514602,19.287113,23.142932,27.057411,32.804308,19.632639
22,none,none,none,x,wavelet,abs,fft,0.015204,10.719677,5.484543,16.020272,26.821437,57.029901,17.248224
23,none,none,none,x,wavelet,abs,corr,3.034874,29.252478,29.360410,33.742134,36.342969,41.906477,29.995536
24,none,none,none,x,wavelet,abs,wavelet,0.314142,20.092611,20.164887,25.666243,29.570594,34.007075,21.459622
25,none,none,none,y,none,none,fft,0.015711,19.176246,16.521792,29.024833,43.890016,59.029901,24.820316
26,none,none,none,y,none,none,corr,1.240540,27.566409,27.394521,32.864257,38.134346,44.702845,28.766579
27,none,none,none,y,none,none,wavelet,0.027745,17.404660,17.805192,22.035138,25.802238,30.942151,18.567144
28,none,none,none,y,none,abs,fft,0.015204,14.870678,8.026353,24.022806,40.927367,58.029901,21.797879
29,none,none,none,y,none,abs,corr,2.152642,28.809486,28.430853,33.336051,38.195623,44.064875,29.791937
30,none,none,none,y,none,abs,wavelet,0.770615,18.585373,18.725047,23.180566,26.296118,31.443746,19.719611
31,none,none,none,y,smooth,none,fft,0.015711,19.176246,16.521792,29.024833,43.890016,59.029901,24.820316
32,none,none,none,y,smooth,none,corr,1.240540,27.566409,27.394521,32.864257,38.134346,44.702845,28.766579
33,none,none,none,y,smooth,none,wavelet,0.027745,17.404660,17.805192,22.035138,25.802238,30.942151,18.567144
34,none,none,none,y,smooth,abs,fft,0.015204,14.870678,8.026353,24.022806,40.927367,58.029901,21.797879
35,none,none,none,y,smooth,abs,corr,2.152642,28.809486,28.430853,33.336051,38.195623,44.064875,29.791937
36,none,none,none,y,smooth,abs,wavelet,0.770615,18.585373,18.725047,23.180566,26.296118,31.443746,19.719611
37,none,none,none,y,bandpass,none,fft,0.015711,19.176246,16.521792,29.024833,43.890016,59.029901,24.820316
38,none,none,none,y,bandpass,none,corr,1.240540,27.566409,27.394521,32.864257,38.134346,44.702845,28.766579
39,none,none,none,y,bandpass,none,wavelet,0.027745,17.404660,17.805192,22.035138,25.802238,30.942151,18.567144
40,none,none,none,y,bandpass,abs,fft,0.015204,14.870678,8.026353,24.022806,40.927367,58.029901,21.797879
